date,time,latitude,longitude,depth,magnitude,magtype
2007-12-22,21:41:23,71.6,132.89,,2.4,M
2007-12-28,01:55:06,71.95,134.79,,2.1,M
2007-12-31,14:57:32,71.79,133.11,,2.1,M
2008-01-02,05:18:03,73.94,114.59,10.0,3.8,M
2008-01-14,22:55:45,70.97,128.69,,2.1,M
2008-01-18,01:52:52,71.32,128.37,,2.2,M
2008-01-20,10:35:25,72.28,132.21,,2.1,M
2008-01-24,05:16:17,72.28,124.53,,2.9,M
2008-02-08,06:09:31,70.77,136.84,,1.8,M
2008-02-15,11:39:28,73.19,115.67,,3.4,M
2008-03-19,04:44:37,73.31,135.72,,2.4,M
2008-04-11,09:46:23,71.75,131.54,,2.3,M
2008-04-18,08:10:12,71.1,133.13,,1.4,M
2008-05-14,21:06:42,72.93,125.63,,2.5,M
2008-05-15,15:29:06,74.83,133.98,10.0,3.8,M
2008-05-16,13:42:11,73.44,143.08,,2.4,M
2008-05-28,18:47:27,73.52,138.24,,3.1,M
2008-06-15,21:15:03,70.87,133.65,,1.6,M
2008-06-24,00:56:55,71.43,138.15,,2.0,M
2008-07-04,04:55:04,75.39,134.1,11.0,4.2,M
2008-07-21,17:38:35,71.69,134.4,,1.9,M
2008-07-21,17:38:46,71.63,134.16,,2.1,M
2008-07-29,19:23:44,75.9,134.7,,3.8,M
2008-11-13,04:17:59,70.81,139.85,,2.7,M
2009-01-20,02:08:50,70.89,131.47,,2.6,M
2009-01-28,04:48:31,70.67,143.48,,2.7,M
2009-04-19,11:41:46,73.27,140.72,,2.7,M
2009-04-21,09:42:20,70.71,140.42,,3.1,M
2009-04-30,08:04:01,71.33,131.19,,2.2,M
2009-05-04,20:46:34,71.22,138.36,,2.1,M
2009-05-28,08:13:38,71.43,132.03,,2.0,M
2009-06-06,07:39:22,72.79,122.9,,2.3,M
2009-06-06,08:22:48,71.41,131.18,,1.9,M
2009-06-15,12:02:59,73.2,123.22,,2.6,M
2009-07-18,05:15:48,71.95,129.43,,2.2,M
2009-08-11,04:13:14,78.613,127.311,10.0,3.0,M
2009-08-22,05:59:28,71.47,132.15,,1.8,M
2009-09-23,20:59:38,71.79,131.96,,2.5,M
2009-10-07,00:29:53,73.314,134.251,13.0,4.0,M
2009-11-20,01:34:39,72.21,131.27,,2.7,M
2009-12-07,15:10:11,70.74,130.04,,1.9,M
2010-01-06,05:19:29,70.85,140.45,,2.0,M
2010-01-10,23:02:33,74.56,136.29,,2.6,M
2010-01-24,17:17:01,73.08,136.76,,1.9,M
2010-01-29,05:31:00,71.3,130.48,,1.9,M
2010-02-01,09:22:44,70.87,140.32,,3.2,M
2010-03-23,19:32:46,70.73,127.72,,3.3,M
2010-03-24,12:44:20,72.03,135.69,,1.9,M
2010-04-01,04:30:22,70.75,140.01,23.0,4.2,M
2010-04-08,02:01:33,70.83,129.86,,1.8,M
2010-04-10,13:23:20,71.8,129.04,,1.8,M
2010-05-02,22:06:52,70.13,130.31,,1.8,M
2010-05-06,07:56:17,70.09,140.95,,1.8,M
2010-05-11,02:16:15,70.08,130.14,,1.9,M
2010-05-13,05:07:29,72.8,126.54,,2.2,M
2010-06-10,23:12:33,73.22,142.52,,2.9,M
2010-07-12,10:06:41,72.96,123.4,12.0,4.4,M
2010-08-22,19:25:03,75.79,132.6,10.0,3.8,M
2010-11-07,09:38:08,75.1,133.2,10.0,3.2,M
2010-11-23,00:57:06,74.82,133.4,,3.6,M
2010-12-15,03:30:55,71.36,137.94,,2.1,M
2010-12-21,05:39:36,79.735,124.253,19.0,2.7,M
2010-12-21,23:45:58,71.42,137.84,,1.9,M
2010-12-22,23:33:54,71.8,129.14,12.0,3.8,M
2010-12-23,06:29:07,71.78,129.2,,2.6,M
2010-12-23,08:14:52,71.79,129.25,,2.3,M
2011-01-08,23:53:14,70.39,136.3,,1.8,M
2011-01-27,02:06:49,71.14,128.85,,1.9,M
2011-01-27,15:46:44,71.3,130.66,,2.7,M
2011-02-03,19:26:45,71.36,141.22,,1.9,M
2011-02-09,12:34:52,72.08,128.19,,2.5,M
2011-02-12,09:49:51,74.72,135.71,,2.8,M
2011-02-16,21:34:49,71.27,130.6,,1.9,M
2011-02-18,00:26:54,71.1,130.26,,3.6,M
2011-03-25,22:44:12,70.5,135.83,,1.9,M
2011-03-26,11:55:43,72.93,125.96,,2.7,M
2011-03-28,15:23:19,72.47,125.11,,2.1,M
2011-03-29,07:03:41,72.32,125.08,,2.3,M
2011-04-10,10:01:09,72.4,124.83,,2.4,M
2011-04-10,21:36:19,72.68,124.97,,2.2,M
2011-04-14,14:57:44,74.08,129.69,,2.3,M
2011-05-12,11:50:45,71.14,130.28,,2.4,M
2011-05-15,10:58:26,73.14,123.36,17.0,3.1,M
