date,time,latitude,longitude,depth,magnitude,magtype,source
1998-08-23,09:59:04,72.6399,129.3323,10.0,4.42,mb,ISC
1998-10-12,12:43:05,74.3219,133.5702,0.0,3.9,mb,ISC
1998-10-23,12:30:11,75.8163,133.9647,10.0,3.94,mb,ISC
1998-12-26,20:42:37,71.9274,128.5956,10.0,3.61,mb,ISC
1999-02-27,06:29:59,71.7425,129.5592,10.0,3.59,mb,ISC
1999-03-24,03:26:35,75.4492,121.6594,23.1925,4.05,mb,ISC
1999-10-27,05:05:10,79.2426,124.2103,22.3209,4.79,mb,ISC
1999-12-02,20:20:54,75.9644,134.3638,10.0,4.32,mb,ISC
2000-01-15,21:27:27,79.6625,122.8794,10.0,3.9,mb,ISC
2000-01-16,12:29:14,79.7199,123.6839,14.7753,4.23,mb,ISC
2000-01-16,14:56:52,79.7473,122.979,10.0,3.67,mb,ISC
2000-01-16,15:22:51,79.7312,122.7435,10.0,4.31,mb,ISC
2000-04-18,04:16:35,75.7397,131.4799,10.0,3.58,mb,ISC
2000-04-30,17:16:29,73.9593,113.5921,10.0,3.86,mb,ISC
2000-07-10,04:17:38,74.1932,147.066,11.9691,4.5,mb,ISC
2000-09-16,17:45:22,78.9814,124.3565,27.8649,4.43,mb,ISC
2001-03-06,09:15:58,75.5181,132.611,10.0,3.63,mb,ISC
2001-03-22,16:16:36,73.9914,130.6374,10.0,3.53,mb,ISC
2001-06-08,04:59:05,72.675,124.016,61.5,4.7,mb,USGS
2001-11-15,19:35:11,73.7723,113.8787,10.0,4.11,mb,ISC
2001-12-17,14:30:04,79.5147,114.8199,0.0,3.5,mb,ISC
2002-06-04,00:05:09,75.687,143.6872,10.0,3.87,mb,ISC
2002-06-10,23:19:22,70.702,139.5681,10.0,3.77,mb,ISC
2002-06-10,23:28:08,70.3482,140.0503,10.0,3.59,mb,ISC
2002-09-27,02:15:54,74.8476,133.9206,10.0,4.12,mb,ISC
2003-01-04,20:57:23,72.1,132.1,,2.4,M,db_earthquakes_of_Russia
2003-02-26,13:28:04,71.3,138.9,,2.9,M,db_earthquakes_of_Russia
2003-03-04,10:45:39,77.4155,125.3243,24.896,3.75,mb,ISC
2003-03-05,14:01:37,77.6348,125.1857,10.0,3.85,mb,ISC
2003-03-16,18:49:44,72.5333,124.7759,10.0,3.7,mb,ISC
2003-03-19,16:31:38,75.9978,131.763,10.0,3.98,mb,ISC
2003-05-14,02:03:38,72.3714,125.3516,10.0,3.5,mb,ISC
2003-07-26,16:41:46,79.5354,123.184,10.0,3.96,mb,ISC
2003-11-03,13:16:44,70.6,143.0,,2.6,M,db_earthquakes_of_Russia
2003-12-07,09:10:20,74.3116,135.2526,10.0,4.41,mb,ISC
2003-12-07,09:16:15,74.0544,134.8308,15.1544,4.82,mb,ISC
2004-01-02,21:56:45,74.083,134.41,10.0,0.0,,USGS
2004-01-12,00:17:48,76.2882,133.5084,0.0,3.4,mb,ISC
2004-02-04,22:55:35,77.979,126.681,10.0,0.0,,USGS
2004-02-24,21:16:33,73.06,130.25,,2.7,M,db_earthquakes_of_Russia
2004-03-11,10:44:10,70.86,140.53,,1.6,M,db_earthquakes_of_Russia
2004-04-27,04:45:41,79.9648,122.9271,0.0,3.5,mb,ISC
2004-06-02,12:49:36,71.82,127.42,,1.1,M,db_earthquakes_of_Russia
2004-06-28,02:11:59,74.078,134.559,10.0,4.8,mb,USGS
2004-08-27,17:28:43,72.31,129.11,,1.7,M,db_earthquakes_of_Russia
2004-09-18,05:08:53,71.91,130.4,,1.7,M,db_earthquakes_of_Russia
2004-09-19,21:29:22,72.32,128.24,,1.7,M,db_earthquakes_of_Russia
2004-10-02,11:06:04,73.8,114.5,,3.9,M,db_earthquakes_of_Russia
2004-10-02,17:02:57,71.52,130.24,,2.0,M,db_earthquakes_of_Russia
2004-10-06,09:28:31,71.75,130.21,,2.0,M,db_earthquakes_of_Russia
2004-10-06,18:32:08,71.93,131.33,,2.0,M,db_earthquakes_of_Russia
2004-10-10,17:12:22,73.0,125.33,,2.0,M,db_earthquakes_of_Russia
2004-11-08,12:38:17,72.01,131.15,,1.4,M,db_earthquakes_of_Russia
2004-11-11,12:48:54,72.79,123.19,,1.4,M,db_earthquakes_of_Russia
2004-12-11,17:51:17,71.42,138.49,,2.4,M,db_earthquakes_of_Russia
2005-03-15,18:23:05,71.47,130.42,,2.4,M,db_earthquakes_of_Russia
2005-04-23,20:32:49,71.73,134.8,,1.5,M,db_earthquakes_of_Russia
2005-04-25,14:03:20,71.02,129.72,,1.4,M,db_earthquakes_of_Russia
2005-04-28,01:26:37,71.15,129.71,,1.5,M,db_earthquakes_of_Russia
2005-05-12,03:39:57,72.1,131.52,,2.6,M,db_earthquakes_of_Russia
2005-05-23,08:00:28,72.37,130.79,,2.5,M,db_earthquakes_of_Russia
2005-06-28,16:43:19,71.09,129.7,,1.8,M,db_earthquakes_of_Russia
2005-07-05,18:25:33,70.49,135.81,,1.6,M,db_earthquakes_of_Russia
2005-08-15,21:24:34,75.0,133.23,,4.2,M,db_earthquakes_of_Russia
2005-08-16,09:19:12,71.45,129.78,,1.3,M,db_earthquakes_of_Russia
2005-08-31,03:17:11,70.97,131.93,,3.0,M,db_earthquakes_of_Russia
2005-12-05,09:31:36,72.06,123.44,,2.2,M,db_earthquakes_of_Russia
2006-02-09,05:38:21,79.9036,123.9652,10.0,3.83,mb,ISC
2006-03-18,07:07:58,71.12,138.71,,1.4,M,db_earthquakes_of_Russia
2006-03-18,13:16:47,72.41,129.68,,2.2,M,db_earthquakes_of_Russia
2006-03-18,13:50:39,72.46,129.55,,1.8,M,db_earthquakes_of_Russia
2006-03-28,18:36:58,76.4745,130.8403,19.4574,4.39,mb,ISC
2006-04-03,15:18:10,73.7,132.8,,1.9,M,db_earthquakes_of_Russia
2006-04-03,15:38:43,73.5,132.7,,1.6,M,db_earthquakes_of_Russia
2006-04-12,19:21:41,70.8,140.3,,2.1,M,db_earthquakes_of_Russia
2006-04-14,09:09:57,70.73,131.76,,1.3,M,db_earthquakes_of_Russia
2006-04-28,01:17:33,70.7,131.5,,1.8,M,db_earthquakes_of_Russia
2006-05-15,14:36:12,70.7,127.0,,1.3,M,db_earthquakes_of_Russia
2006-05-18,16:12:10,72.69,123.87,,1.8,M,db_earthquakes_of_Russia
2006-05-19,03:45:53,70.55,132.0,,1.2,M,db_earthquakes_of_Russia
2006-05-23,07:51:52,71.3,134.2,,1.9,M,db_earthquakes_of_Russia
2006-05-25,11:25:18,72.85,130.61,,2.2,M,db_earthquakes_of_Russia
2006-06-09,01:26:55,74.021,137.41899999999998,33.0,2.8,M,db_earthquakes_of_Russia
2006-06-18,14:07:22,70.6,142.7,,2.1,M,db_earthquakes_of_Russia
2006-06-18,16:04:51,72.97,124.45,,2.3,M,db_earthquakes_of_Russia
2006-06-20,07:40:44,72.68,130.93,,2.0,M,db_earthquakes_of_Russia
2006-06-29,16:58:27,71.3,134.1,,1.8,M,db_earthquakes_of_Russia
2006-07-01,16:18:41,73.7,135.1,,2.1,M,db_earthquakes_of_Russia
2006-07-04,08:56:50,70.57,133.53,,1.6,M,db_earthquakes_of_Russia
2006-07-04,11:57:54,70.84,133.95,,1.6,M,db_earthquakes_of_Russia
2006-09-29,14:36:23,71.1,129.15,,3.1,M,db_earthquakes_of_Russia
2006-11-08,13:51:34,70.3,130.35,,1.2,M,db_earthquakes_of_Russia
2006-12-01,15:37:41,73.8,135.1,,1.7,M,db_earthquakes_of_Russia
2006-12-17,11:39:09,74.679,132.31,10.0,0.0,,USGS
2006-12-29,12:46:34,74.5,129.0,,2.2,M,db_earthquakes_of_Russia
2007-01-06,01:30:55,72.31,121.39,,2.9,M,db_earthquakes_of_Russia
2007-01-06,14:34:12,73.74,125.52,,3.2,M,db_earthquakes_of_Russia
2007-01-11,01:59:46,74.2566,146.9688,10.0,3.47,mb,ISC
2007-01-25,09:55:39,71.3,131.93,,2.1,M,db_earthquakes_of_Russia
2007-01-25,09:58:26,71.24,131.8,,2.8,M,db_earthquakes_of_Russia
2007-01-29,19:34:40,70.88,128.91,,1.9,M,db_earthquakes_of_Russia
2007-02-21,15:14:18,70.01,125.07,,1.7,M,db_earthquakes_of_Russia
2007-02-23,15:42:53,71.0,132.47,,1.7,M,db_earthquakes_of_Russia
2007-02-26,21:00:02,70.67,134.84,,2.1,M,db_earthquakes_of_Russia
2007-02-26,21:06:59,72.06,134.47,,2.0,M,db_earthquakes_of_Russia
2007-02-27,16:54:06,77.764,127.053,10.0,3.3,M,db_earthquakes_of_Russia
2007-03-08,17:39:33,72.04,124.86,,2.0,M,db_earthquakes_of_Russia
2007-03-09,01:17:59,71.11,131.16,,1.5,M,db_earthquakes_of_Russia
2007-03-09,01:58:05,70.63,131.2,,1.9,M,db_earthquakes_of_Russia
2007-03-09,04:17:57,70.11,126.41,,2.1,M,db_earthquakes_of_Russia
2007-03-14,08:51:09,77.753,126.512,10.0,4.5,mb,USGS
2007-03-16,21:08:11,70.0628,140.1881,10.0,4.53,mb,ISC
2007-03-16,22:03:09,70.11,140.5,,1.4,M,db_earthquakes_of_Russia
2007-03-30,02:35:15,73.09,122.6,,2.7,M,db_earthquakes_of_Russia
2007-04-11,17:44:28,78.815,125.65700000000001,10.0,4.3,mb,USGS
2007-04-12,03:10:18,70.76,129.95,,2.1,M,db_earthquakes_of_Russia
2007-04-12,03:28:13,70.84,130.04,,1.9,M,db_earthquakes_of_Russia
2007-04-12,03:40:14,70.72,129.87,,3.0,M,db_earthquakes_of_Russia
2007-04-12,03:42:44,70.75,129.87,,2.3,M,db_earthquakes_of_Russia
2007-04-12,04:35:33,70.67,129.74,,2.8,M,db_earthquakes_of_Russia
2007-04-12,09:37:12,70.66,129.66,,2.4,M,db_earthquakes_of_Russia
2007-04-13,06:56:31,70.72,129.71,,1.5,M,db_earthquakes_of_Russia
2007-05-17,21:05:25,77.433,123.47,10.0,4.0,mb,USGS
2007-06-06,14:21:29,72.584,125.154,41.5,3.9,mb,USGS
2007-06-09,21:59:27,70.03,130.16,,2.1,M,db_earthquakes_of_Russia
2007-07-12,20:29:25,72.2656,125.7669,10.0,3.87,mb,ISC
2007-07-19,06:18:44,72.2166,125.8918,10.0,4.4,mb,ISC
2007-09-01,17:58:25,70.34,124.86,,1.8,M,db_earthquakes_of_Russia
2007-09-27,02:43:13,70.36,133.86,,1.5,M,db_earthquakes_of_Russia
2007-10-18,21:34:29,72.09,131.06,,2.7,M,db_earthquakes_of_Russia
2007-11-15,02:12:08,74.11,135.79,,3.1,M,db_earthquakes_of_Russia
2007-11-27,22:00:57,70.81,140.1,,2.0,M,db_earthquakes_of_Russia
2007-12-10,07:16:47,72.13,131.01,,3.3,M,db_earthquakes_of_Russia
2007-12-13,20:48:03,72.86,127.08,,3.3,M,db_earthquakes_of_Russia
2007-12-14,22:48:53,70.7,140.1,,2.9,M,db_earthquakes_of_Russia
2007-12-15,15:47:17,73.1,124.3,,2.2,M,db_earthquakes_of_Russia
2007-12-15,16:48:53,70.7,137.7,,2.2,M,db_earthquakes_of_Russia
2007-12-21,08:20:11,73.01,127.99,,2.8,M,db_earthquakes_of_Russia
2007-12-22,16:10:38,70.79,138.11,,1.9,M,db_earthquakes_of_Russia
2007-12-22,21:41:23,71.6,132.89,,2.4,M,db_earthquakes_of_Russia
2007-12-28,01:55:06,71.95,134.79,,2.1,M,db_earthquakes_of_Russia
2007-12-31,14:57:32,71.79,133.11,,2.1,M,db_earthquakes_of_Russia
2008-01-02,05:18:03,73.94,114.59,10.0,3.8,M,db_earthquakes_of_Russia
2008-01-14,22:55:45,70.97,128.69,,2.1,M,db_earthquakes_of_Russia
2008-01-18,01:52:52,71.32,128.37,,2.2,M,db_earthquakes_of_Russia
2008-01-20,10:35:25,72.28,132.21,,2.1,M,db_earthquakes_of_Russia
2008-01-24,05:16:17,72.28,124.53,,2.9,M,db_earthquakes_of_Russia
2008-02-08,06:09:31,70.77,136.84,,1.8,M,db_earthquakes_of_Russia
2008-02-15,11:39:28,73.19,115.67,,3.4,M,db_earthquakes_of_Russia
2008-03-19,04:44:37,73.31,135.72,,2.4,M,db_earthquakes_of_Russia
2008-04-11,09:46:23,71.75,131.54,,2.3,M,db_earthquakes_of_Russia
2008-04-18,08:10:12,71.1,133.13,,1.4,M,db_earthquakes_of_Russia
2008-05-14,21:06:42,72.93,125.63,,2.5,M,db_earthquakes_of_Russia
2008-05-15,15:29:06,74.84899999999999,133.994,10.0,3.5,mb,USGS
2008-05-16,13:42:11,73.44,143.08,,2.4,M,db_earthquakes_of_Russia
2008-05-28,18:47:27,73.52,138.24,,3.1,M,db_earthquakes_of_Russia
2008-06-15,21:15:03,70.87,133.65,,1.6,M,db_earthquakes_of_Russia
2008-06-22,19:45:28,77.097,131.085,10.0,4.3,mb,USGS
2008-06-24,00:56:55,71.43,138.15,,2.0,M,db_earthquakes_of_Russia
2008-07-04,04:55:06,75.3815,133.9345,17.5862,5.0,mb,ISC
2008-07-21,17:38:46,71.63,134.16,,2.1,M,db_earthquakes_of_Russia
2008-07-29,19:23:44,75.9,134.7,,3.8,M,db_earthquakes_of_Russia
2008-11-13,04:17:59,70.81,139.85,,2.7,M,db_earthquakes_of_Russia
2009-01-20,02:08:50,70.89,131.47,,2.6,M,db_earthquakes_of_Russia
2009-01-28,04:48:31,70.67,143.48,,2.7,M,db_earthquakes_of_Russia
2009-04-19,11:41:46,73.27,140.72,,2.7,M,db_earthquakes_of_Russia
2009-04-21,09:42:20,70.71,140.42,,3.1,M,db_earthquakes_of_Russia
2009-04-30,08:04:01,71.33,131.19,,2.2,M,db_earthquakes_of_Russia
2009-05-04,20:46:34,71.22,138.36,,2.1,M,db_earthquakes_of_Russia
2009-05-28,08:13:38,71.43,132.03,,2.0,M,db_earthquakes_of_Russia
2009-06-06,07:39:22,72.79,122.9,,2.3,M,db_earthquakes_of_Russia
2009-06-06,08:22:48,71.41,131.18,,1.9,M,db_earthquakes_of_Russia
2009-06-15,12:02:59,73.2,123.22,,2.6,M,db_earthquakes_of_Russia
2009-07-18,05:15:48,71.95,129.43,,2.2,M,db_earthquakes_of_Russia
2009-07-30,12:25:28,73.5411,148.2815,0.0,3.6,mb,ISC
2009-08-11,04:13:14,78.613,127.311,10.0,3.0,M,db_earthquakes_of_Russia
2009-08-22,05:59:28,71.47,132.15,,1.8,M,db_earthquakes_of_Russia
2009-09-23,20:59:38,71.79,131.96,,2.5,M,db_earthquakes_of_Russia
2009-10-07,00:30:01,73.26100000000001,134.631,71.2,4.5,mb,USGS
2009-11-20,01:34:39,72.21,131.27,,2.7,M,db_earthquakes_of_Russia
2009-12-07,15:10:11,70.74,130.04,,1.9,M,db_earthquakes_of_Russia
2010-01-06,05:19:29,70.85,140.45,10.0,2.0,MSV,ISC
2010-01-10,23:02:33,74.56,136.29,10.0,2.56,MSV,ISC
2010-01-24,17:17:01,73.08,136.76,10.0,1.89,MSV,ISC
2010-01-29,05:31:00,71.3,130.48,,1.9,M,db_earthquakes_of_Russia
2010-02-01,09:22:44,70.87,140.32,,3.2,M,db_earthquakes_of_Russia
2010-03-02,06:59:05,70.57,129.86,10.0,1.33,MSV,ISC
2010-03-23,19:32:46,70.73,127.72,,3.3,M,db_earthquakes_of_Russia
2010-03-24,12:44:20,72.03,135.69,,1.9,M,db_earthquakes_of_Russia
2010-03-31,15:36:53,75.9082,135.4171,10.0,3.4,mb,ISC
2010-04-01,04:30:22,70.75,140.01,23.0,4.2,M,db_earthquakes_of_Russia
2010-04-08,02:01:33,70.83,129.86,,1.8,M,db_earthquakes_of_Russia
2010-04-10,13:23:20,71.8,129.04,10.0,1.78,MSV,ISC
2010-05-02,22:06:52,70.13,130.31,,1.8,M,db_earthquakes_of_Russia
2010-05-06,07:56:17,70.09,140.95,,1.8,M,db_earthquakes_of_Russia
2010-05-11,02:16:15,70.08,130.14,10.0,1.89,MSV,ISC
2010-05-13,05:07:29,72.8,126.54,10.0,2.17,MSV,ISC
2010-05-14,16:33:19,70.46,135.71,10.0,1.56,MSV,ISC
2010-06-10,23:12:33,73.22,142.52,,2.9,M,db_earthquakes_of_Russia
2010-06-16,12:12:49,71.47,141.55,10.0,1.44,MSV,ISC
2010-06-26,04:06:12,73.1102,122.6422,10.0,3.75,mb,ISC
2010-07-12,10:06:45,72.942,123.30799999999999,29.1,4.9,mb,USGS
2010-07-31,17:02:12,75.6585,132.0435,10.0,3.81,mb,ISC
2010-08-22,19:25:03,75.79,132.6,10.0,3.8,M,db_earthquakes_of_Russia
2010-10-29,11:37:55,74.9351,132.9118,0.0,3.8,mb,ISC
2010-11-07,09:38:10,75.0473,133.5561,10.0,3.58,mb,ISC
2010-11-23,00:57:09,74.807,133.335,22.0,4.9,mb,USGS
2010-12-15,03:30:55,71.36,137.94,,2.1,M,db_earthquakes_of_Russia
2010-12-21,00:33:56,71.39,138.16,10.0,1.33,MSV,ISC
2010-12-21,05:39:36,79.8051,124.176,10.0,3.8,mb,ISC
2010-12-21,23:45:58,71.42,137.84,,1.9,M,db_earthquakes_of_Russia
2010-12-22,23:33:55,71.688,128.901,20.6,4.6,mb,USGS
2010-12-23,06:29:07,71.78,129.2,,2.6,M,db_earthquakes_of_Russia
2010-12-23,08:14:52,71.79,129.25,,2.3,M,db_earthquakes_of_Russia
2010-12-23,09:37:14,70.31,131.37,10.0,1.56,MSV,ISC
2010-12-28,15:25:10,77.3985,125.3744,10.0,3.69,mb,ISC
2010-12-28,16:30:14,70.82,140.55,10.0,1.61,MSV,ISC
2011-01-08,23:53:14,70.39,136.3,,1.8,M,db_earthquakes_of_Russia
2011-01-27,02:06:49,71.14,128.85,,1.9,M,db_earthquakes_of_Russia
2011-01-27,15:46:44,71.3,130.66,,2.7,M,db_earthquakes_of_Russia
