longitude,latitude,magnitude
140.1881,70.0628,4.53
140.5,70.11,1.4
122.6,73.09,2.7
125.657,78.815,4.3
129.95,70.76,2.1
130.04,70.84,1.9
129.87,70.72,3.0
129.87,70.75,2.3
129.74,70.67,2.8
129.66,70.66,2.4
129.71,70.72,1.5
123.47,77.433,4.0
125.154,72.584,3.9
130.16,70.03,2.1
125.7669,72.2656,3.87
125.8918,72.2166,4.4
124.86,70.34,1.8
133.86,70.36,1.5
131.06,72.09,2.7
135.79,74.11,3.1
140.1,70.81,2.0
131.01,72.13,3.3
127.08,72.86,3.3
140.1,70.7,2.9
124.3,73.1,2.2
137.7,70.7,2.2
127.99,73.01,2.8
138.11,70.79,1.9
132.89,71.6,2.4
134.79,71.95,2.1
133.11,71.79,2.1
114.59,73.94,3.8
128.69,70.97,2.1
128.37,71.32,2.2
132.21,72.28,2.1
124.53,72.28,2.9
136.84,70.77,1.8
115.67,73.19,3.4
135.72,73.31,2.4
131.54,71.75,2.3
133.13,71.1,1.4
125.63,72.93,2.5
133.994,74.84899999999998,3.5
143.08,73.44,2.4
138.24,73.52,3.1
133.65,70.87,1.6
131.085,77.097,4.3
138.15,71.43,2.0
133.9345,75.3815,5.0
134.16,71.63,2.1
134.7,75.9,3.8
139.85,70.81,2.7
131.47,70.89,2.6
143.48,70.67,2.7
140.72,73.27,2.7
140.42,70.71,3.1
131.19,71.33,2.2
138.36,71.22,2.1
132.03,71.43,2.0
122.9,72.79,2.3
131.18,71.41,1.9
123.22,73.2,2.6
129.43,71.95,2.2
148.2815,73.5411,3.6
127.311,78.613,3.0
132.15,71.47,1.8
131.96,71.79,2.5
134.631,73.26100000000002,4.5
131.27,72.21,2.7
130.04,70.74,1.9
140.45,70.85,2.0
136.29,74.56,2.56
136.76,73.08,1.89
130.48,71.3,1.9
140.32,70.87,3.2
129.86,70.57,1.33
127.72,70.73,3.3
135.69,72.03,1.9
135.4171,75.9082,3.4
140.01,70.75,4.2
129.86,70.83,1.8
129.04,71.8,1.78
130.31,70.13,1.8
140.95,70.09,1.8
130.14,70.08,1.89
126.54,72.8,2.17
135.71,70.46,1.56
142.52,73.22,2.9
141.55,71.47,1.44
122.6422,73.1102,3.75
123.308,72.942,4.9
132.0435,75.6585,3.81
132.6,75.79,3.8
132.9118,74.9351,3.8
133.5561,75.0473,3.58
133.335,74.807,4.9
137.94,71.36,2.1
138.16,71.39,1.33
124.176,79.8051,3.8
137.84,71.42,1.9
128.901,71.688,4.6
129.2,71.78,2.6
129.25,71.79,2.3
131.37,70.31,1.56
125.3744,77.3985,3.69
140.55,70.82,1.61
136.3,70.39,1.8
