time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1984-08-18T17:36:20.930Z,79.999,123.836,10,4.5,mb,,,,0.9,us,usp00026h2,2014-11-07T00:35:19.384Z,"east of Severnaya Zemlya",earthquake,,,,6,reviewed,us,us
1984-08-12T18:34:39.320Z,74.261,134.703,10,4.6,mb,,,,1.4,us,usp00026cq,2014-11-07T00:35:18.528Z,"Laptev Sea",earthquake,,,,3,reviewed,us,us
1984-08-12T15:28:02.750Z,74.161,134.806,10,5.1,mb,,,,0.9,us,usp00026ck,2014-11-07T00:35:18.478Z,"Laptev Sea",earthquake,,,,13,reviewed,us,us
1984-04-27T23:55:06.990Z,77.814,125.188,10,4.6,mb,,,,0.9,us,usp00023ym,2014-11-07T00:34:48.215Z,"Laptev Sea",earthquake,,,,15,reviewed,us,us
1983-10-11T03:39:08.820Z,75.62,122.494,10,4.7,mb,,,,0.7,us,usp0001ywv,2014-11-07T00:33:58.287Z,"Laptev Sea",earthquake,,,,10,reviewed,us,us
1983-06-10T02:13:22.940Z,75.53,122.76,10,5.6,mb,,,,1,us,usp0001w02,2016-11-09T22:43:33.355Z,"Laptev Sea",earthquake,,,,81,reviewed,us,us
1981-01-22T00:26:59.800Z,72.944,122.823,33,4.5,mb,,,,,us,usp0001bun,2014-11-06T23:24:28.784Z,"northwestern Sakha, Russia",earthquake,,,,,reviewed,us,us
1980-02-01T17:30:27.400Z,73.04,122.615,27,5.4,mb,,,,,us,usp000159k,2016-11-09T21:47:17.124Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,,reviewed,us,us
1978-09-07T14:00:58.100Z,74.145,146.695,33,4.2,mb,,,,,us,usp0000weg,2014-11-06T23:21:51.932Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,,reviewed,us,us
1977-04-23T14:49:09.100Z,75.228,134.379,37,5,mb,,,,,us,usp0000nke,2016-11-09T22:21:48.794Z,"Laptev Sea",earthquake,,,,,reviewed,us,us
1977-01-31T08:35:37.600Z,76.893,130.845,38,4.7,mb,,,,,us,usp0000me1,2014-11-06T23:21:39.655Z,"Laptev Sea",earthquake,,,,,reviewed,us,us
1976-08-22T20:02:34.400Z,72.729,124.663,49,3.8,mb,,,,,us,usp0000j0g,2014-11-06T23:21:36.868Z,"northwestern Sakha, Russia",earthquake,,,,,reviewed,us,us
1976-07-24T18:47:57.500Z,71.24,136.058,33,4.3,mb,,,,,us,usp0000hgy,2014-11-06T23:21:36.342Z,"near the coast of northeastern Sakha, Russia",earthquake,,,,,reviewed,us,us
1976-07-20T05:32:11.000Z,78.041,126.228,33,4.8,mb,,,,,us,usp0000hem,2014-11-06T23:21:36.290Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,us
1974-11-27T20:38:03.400Z,79.253,123.994,33,4.4,mb,,,,,us,usp00008xa,2014-11-06T23:21:27.571Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,us
1973-12-15T23:31:44.300Z,74.286,147.085,33,5,mb,,,,,us,usp00004jc,2014-11-06T23:21:21.864Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,,reviewed,us,us
1969-04-07T20:26:29.000Z,76.481,131.227,15,5.5,mw,,,,,iscgem,iscgem809652,2015-05-13T18:53:02.000Z,"Laptev Sea",earthquake,,,,,automatic,iscgem,iscgem
1964-08-25T13:47:19.000Z,78.035,126.557,15,6.7,mw,,,,,iscgem,iscgem865418,2015-05-13T18:52:58.000Z,"east of Severnaya Zemlya",earthquake,,,,,automatic,iscgem,iscgem
1927-11-14T04:56:33.000Z,70.094,128.731,15,6.7,mw,,,,,iscgem,iscgem909623,2015-05-13T18:52:42.000Z,"northwestern Sakha, Russia",earthquake,,,,,automatic,iscgem,iscgem
1927-11-14T00:12:08.000Z,70.221,128.939,15,6.5,mw,,,,,iscgem,iscgem909622,2015-05-13T18:52:42.000Z,"northwestern Sakha, Russia",earthquake,,,,,automatic,iscgem,iscgem
