time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-03-22T06:39:15.830Z,78.081,125.855,10,4.3,mb,68,66.2,,1.07,us,us2013nbb5,2014-11-07T01:50:22.352Z,"East of Severnaya Zemlya",earthquake,,,,28,reviewed,us,us
2013-02-07T03:33:48.620Z,74.318,129.947,10,4.3,mb,45,69.8,,0.96,us,usp000jz3y,2014-11-07T01:50:03.314Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,18,reviewed,us,us
2012-07-27T14:01:27.420Z,79.192,123.954,10,4.4,mb,126,55.8,,0.84,us,usp000jph5,2014-11-07T01:48:24.473Z,"east of Severnaya Zemlya",earthquake,,,,52,reviewed,us,us
2012-04-07T00:15:00.770Z,74.964,136.45,10,4.4,mb,16,82.5,,1.19,us,usp000jhbq,2014-11-07T01:47:26.781Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,4,reviewed,us,us
2012-04-07T00:12:19.920Z,75.135,136.429,10,4.4,mb,33,60.6,,0.87,us,usp000jhbp,2014-11-07T01:47:26.778Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,9,reviewed,us,us
2012-04-05T18:42:30.210Z,75.054,136.513,10,4.7,mb,142,53.6,,0.96,us,usp000jh9q,2014-11-07T01:47:26.395Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,75,reviewed,us,us
2011-12-27T20:25:36.020Z,74.068,134.203,10,4.7,mb,32,98.1,,1.33,us,usp000jcqn,2014-11-07T01:46:38.128Z,"Laptev Sea",earthquake,,,,12,reviewed,us,us
2011-09-29T16:08:14.420Z,79.817,123.865,10,4.4,mb,22,98.9,,0.84,us,usp000j8qv,2014-11-07T01:45:58.131Z,"east of Severnaya Zemlya",earthquake,,,,9,reviewed,us,us
2011-08-20T05:57:41.310Z,79.361,124.16,10,4.5,mb,36,74,,1.03,us,usp000j6q8,2014-11-07T01:45:38.548Z,"east of Severnaya Zemlya",earthquake,,,,17,reviewed,us,us
2011-07-23T17:59:22.510Z,74.397,132.939,10,4.9,mb,13,137.8,,1.53,us,usp000j5ct,2014-11-07T01:45:25.565Z,"Laptev Sea",earthquake,,,,3,reviewed,us,us
2011-07-16T06:42:23.610Z,74.276,134.586,10,4.4,mb,47,74.5,,0.86,us,usp000j50e,2014-11-07T01:45:22.527Z,"Laptev Sea",earthquake,,,,23,reviewed,us,us
2011-06-07T17:13:23.240Z,74.872,131.573,10,4.1,mb,11,147.3,,1.37,us,usp000j2up,2014-11-07T01:45:02.897Z,"Laptev Sea",earthquake,,,,2,reviewed,us,us
2011-05-20T04:51:49.840Z,72.813,121.29,47.2,4.8,mb,202,33.6,,0.67,us,usp000j1vn,2014-11-07T01:44:52.739Z,"northwestern Sakha, Russia",earthquake,,6.9,,133,reviewed,us,us
2011-05-16T06:49:59.650Z,72.776,120.688,10,4.1,mb,14,84.3,,1.35,us,usp000j1pa,2014-11-07T01:44:51.677Z,"northwestern Sakha, Russia",earthquake,,,,2,reviewed,us,us
2010-12-22T23:33:55.470Z,71.688,128.901,20.6,4.6,mb,40,82.4,,0.86,us,usp000hrm8,2014-11-07T01:43:12.692Z,"northwestern Sakha, Russia",earthquake,,5.4,,13,reviewed,us,us
2010-11-23T00:57:09.710Z,74.807,133.335,22,4.9,mb,93,70.4,,0.99,us,usp000hpzn,2014-11-07T01:42:57.208Z,"Laptev Sea",earthquake,,21.3,,46,reviewed,us,us
2010-08-22T19:25:03.790Z,75.787,132.42,10,4.1,mb,21,71.8,,0.99,us,usp000hjmq,2014-11-07T01:42:17.249Z,"Laptev Sea",earthquake,,,,2,reviewed,us,us
2010-07-12T10:06:45.810Z,72.942,123.308,29.1,4.9,mb,123,34.8,,0.76,us,usp000hf6k,2014-11-07T01:41:52.752Z,"northwestern Sakha, Russia",earthquake,,15.8,,74,reviewed,us,us
2009-10-07T00:30:01.870Z,73.261,134.631,71.2,4.5,mb,37,69.2,,0.79,us,usp000h2f8,2014-11-07T01:39:52.918Z,"Laptev Sea",earthquake,,27.3,,14,reviewed,us,us
2008-07-04T04:55:05.310Z,75.398,133.948,10,5,mwc,298,38.6,,0.96,us,usp000gb9u,2016-11-10T01:58:16.255Z,"Laptev Sea",earthquake,,,,,reviewed,us,gcmt
2008-06-22T19:45:28.970Z,77.097,131.085,10,4.3,mb,13,129.3,,1.19,us,usp000gab6,2014-11-07T01:36:25.057Z,"Laptev Sea",earthquake,,,,6,reviewed,us,us
2008-05-15T15:29:06.460Z,74.849,133.994,10,3.5,mb,14,80.8,,1.42,us,usp000g6vn,2014-11-07T01:36:00.787Z,"Laptev Sea",earthquake,,,,2,reviewed,us,us
2008-01-02T05:18:02.100Z,74.118,114.684,10,4,mb,12,87.6,,1.45,us,usp000fvu9,2014-11-07T01:34:35.545Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,1,reviewed,us,us
