date,time,latitude,longitude,depth,magnitude,magtype
1995-01-16,19:20:23,79.204,123.756,10,4.5,mb
1994-09-23,02:11:37,76.401,145.754,10,4.6,mb
1993-10-05,21:28:06,77.727,126.454,33.3,5.2,mw
1993-05-17,13:18:41,78,126.367,10,4.4,mb
1993-05-04,20:48:50,77.215,131.435,10,4.7,mb
1993-04-11,23:22:49,78.181,126.128,10,4.8,mb
1993-03-24,22:43:27,71.685,130.539,10,4.8,mb
1993-02-12,10:52:03,79.218,124.503,10,5.1,mw
1993-01-21,13:43:15,78.873,125.638,28.6,5.5,mw
1992-02-17,00:01:56,79.191,124.482,10,6,mw
1992-02-15,04:52:04,75.918,125.21,17.3,5,mb
1991-11-09,11:00:49,79.116,126.688,10,4.3,mb
1991-03-29,11:34:21,79.734,124.066,10,4.6,mb
1991-03-22,17:02:19,79.849,123.884,10,4.7,mb
1991-03-01,01:57:03,72.163,126.82,18.8,5.2,mb
1990-06-28,22:03:47,76.148,134.051,10,4.4,mb
1990-06-09,18:24:34,75.092,113.096,33,5.1,ms
1990-03-13,00:32:59,73.325,134.909,17.8,5.3,mw
1989-10-02,10:00:32,76.462,133.411,10,4.5,mb
1989-09-26,00:18:50,76.175,134.246,10,4.5,mb
1989-08-17,02:37:00,76.51,134.34,10,3.9,mb
1989-08-05,10:49:23,76.166,134.346,13.2,4.6,mb
1989-08-05,06:55:50,76.118,134.578,10,5.4,mw
1988-03-21,23:31:21,77.601,125.451,10,6.5,mw
1988-01-01,14:36:09,74.655,130.962,10,5.1,mw
1987-11-25,17:28:01,73.658,118.711,10,5.1,mb
1987-10-08,06:19:17,73.72,118.63,10,4.7,mb
1987-09-22,22:05:15,76.421,134.275,14.3,5.5,mw
1987-02-22,01:22:29,78.866,125.966,10,5.4,mw
1986-08-05,05:20:31,76.358,146.512,10,4.7,mb
1986-06-15,06:55:34,72.587,125.58,10,4.7,mb
1986-05-19,13:52:30,75.573,111.442,10,4.6,mb
1985-06-03,18:32:53,78.202,126.397,10,5.1,mb
1984-08-18,17:36:20,79.999,123.836,10,4.5,mb
1984-08-12,18:34:39,74.261,134.703,10,4.6,mb
1984-08-12,15:28:02,74.161,134.806,10,5.1,mb
1984-04-27,23:55:06,77.814,125.188,10,4.6,mb
1983-10-11,03:39:08,75.62,122.494,10,4.7,mb
1983-06-10,02:13:22,75.53,122.76,10,5.6,mb
1981-01-22,00:26:59,72.944,122.823,33,4.5,mb
1980-02-01,17:30:27,73.04,122.615,27,5.4,mb
1978-09-07,14:00:58,74.145,146.695,33,4.2,mb
1977-04-23,14:49:09,75.228,134.379,37,5,mb
1977-01-31,08:35:37,76.893,130.845,38,4.7,mb
1976-08-22,20:02:34,72.729,124.663,49,3.8,mb
1976-07-24,18:47:57,71.24,136.058,33,4.3,mb
1976-07-20,05:32:11,78.041,126.228,33,4.8,mb
1975-08-12,15:00:02,70.767,127.147,33,5.2,mb
1974-11-27,20:38:03,79.253,123.994,33,4.4,mb
1973-12-15,23:31:44,74.286,147.085,33,5,mb
