date,time,latitude,longitude,depth,magnitude,magtype
1992-02-17,00:01:59,79.1405,124.5021,15.8391,5.96,mb
1992-02-17,07:51:56,78.8532,123.2295,10.0,4.48,mb
1992-12-28,15:52:30,79.421,125.1401,10.0,3.88,mb
1993-01-21,13:43:15,78.8446,125.6066,10.0,5.14,mb
1993-02-12,10:52:06,79.143,124.4503,16.5656,4.99,mb
1993-03-24,22:43:31,71.6569,130.0173,22.896,4.82,mb
1993-04-11,23:22:52,78.1913,126.2422,24.3191,4.81,mb
1993-05-04,20:48:52,77.0688,131.6524,12.648700000000002,4.76,mb
1993-05-17,13:18:43,77.9918,126.2579,10.0,4.33,mb
1993-10-05,21:28:07,77.6296,126.4101,27.740099999999998,5.08,mb
1994-03-31,22:28:38,71.7043,128.3065,10.0,3.94,mb
1994-09-23,02:11:38,76.2857,145.5634,10.0,4.63,mb
1995-01-16,19:20:26,79.3524,123.2509,10.0,4.47,mb
1995-01-31,12:43:41,72.6582,131.3359,10.0,4.36,mb
1995-06-10,18:58:05,74.7694,113.7533,10.0,4.16,mb
1996-04-04,03:53:21,73.2723,132.1287,10.0,3.62,mb
1996-04-28,01:40:41,71.48,130.52,0.0,3.3,mb
1996-06-22,16:47:16,75.8078,134.9807,21.7807,5.65,mb
1996-09-14,19:29:43,75.5357,110.4155,10.0,4.12,mb
1996-09-14,23:19:59,72.184,126.4778,10.0,3.91,mb
1996-09-15,00:21:25,72.4153,126.3352,14.0819,4.41,mb
1996-09-18,20:32:21,72.1409,126.3851,10.0,3.3,mb
1996-09-18,23:37:30,72.3147,125.9972,10.0,3.71,mb
1996-09-19,03:17:21,72.304,125.7561,10.0,3.58,mb
1996-09-24,13:26:04,72.1742,126.1619,10.0,3.7,mb
1996-09-26,19:17:52,75.868,134.242,10.0,3.69,mb
1996-10-23,20:41:40,77.1204,125.3809,23.8723,4.3,mb
1996-11-11,08:46:57,75.6041,134.458,10.0,3.94,mb
1996-11-12,22:25:41,75.8471,133.0928,10.0,3.67,mb
1996-11-17,18:29:47,71.58,148.53,0.0,3.9,mb
1997-03-08,05:05:51,74.82,131.75,0.0,3.5,mb
1997-03-14,21:04:12,72.979,117.7104,10.0,3.74,mb
1997-03-17,11:20:12,73.8677,143.0521,10.0,3.86,mb
1997-04-16,08:42:30,78.4545,125.7174,15.356200000000001,4.85,mb
1997-04-19,15:26:36,78.4804,126.0812,17.0321,5.63,mb
1997-04-19,18:00:34,78.703,123.879,30.6,3.1,mb
1998-02-18,18:31:59,71.6282,129.3527,10.0,3.55,mb
1998-06-04,02:53:27,75.3823,131.3838,0.0,3.8,mb
1998-07-16,15:57:40,74.2996,131.3958,0.0,3.7,mb
1998-08-23,09:59:04,72.6399,129.3323,10.0,4.42,mb
1998-10-12,12:43:05,74.3219,133.5702,0.0,3.9,mb
1998-10-23,12:30:11,75.8163,133.9647,10.0,3.94,mb
1998-12-26,20:42:37,71.9274,128.5956,10.0,3.61,mb
1999-02-27,06:29:59,71.7425,129.5592,10.0,3.59,mb
1999-03-24,03:26:35,75.4492,121.6594,23.1925,4.05,mb
1999-10-27,05:05:10,79.2426,124.2103,22.3209,4.79,mb
1999-12-02,20:20:54,75.9644,134.3638,10.0,4.32,mb
2000-01-15,21:27:27,79.6625,122.8794,10.0,3.9,mb
2000-01-16,12:29:14,79.7199,123.6839,14.7753,4.23,mb
2000-01-16,14:56:52,79.7473,122.979,10.0,3.67,mb
2000-01-16,15:22:51,79.7312,122.7435,10.0,4.31,mb
2000-04-18,04:16:35,75.7397,131.4799,10.0,3.58,mb
2000-04-30,17:16:29,73.9593,113.5921,10.0,3.86,mb
2000-07-10,04:17:38,74.1932,147.066,11.969100000000001,4.5,mb
2000-09-16,17:45:22,78.9814,124.3565,27.864900000000002,4.43,mb
2001-03-06,09:15:58,75.5181,132.611,10.0,3.63,mb
2001-03-22,16:16:36,73.9914,130.6374,10.0,3.53,mb
2001-06-08,04:59:00,72.6578,123.9473,10.0,4.43,mb
2001-11-15,19:35:11,73.7723,113.8787,10.0,4.11,mb
2001-12-17,14:30:04,79.5147,114.8199,0.0,3.5,mb
2002-06-04,00:05:09,75.687,143.6872,10.0,3.87,mb
2002-06-10,23:19:22,70.702,139.5681,10.0,3.77,mb
2002-06-10,23:28:08,70.3482,140.0503,10.0,3.59,mb
2002-09-27,02:15:54,74.8476,133.9206,10.0,4.12,mb
2003-03-04,10:45:39,77.4155,125.3243,24.896,3.75,mb
2003-03-05,14:01:37,77.6348,125.1857,10.0,3.85,mb
2003-03-16,18:49:44,72.5333,124.7759,10.0,3.7,mb
2003-03-19,16:31:38,75.9978,131.763,10.0,3.98,mb
2003-05-14,02:03:38,72.3714,125.3516,10.0,3.5,mb
2003-07-26,16:41:46,79.5354,123.184,10.0,3.96,mb
2003-12-07,09:09:20,74.083,134.7833,10.0,4.32,mb
2003-12-07,09:10:20,74.3116,135.2526,10.0,4.41,mb
2003-12-07,09:16:15,74.0544,134.8308,15.154399999999999,4.82,mb
2004-01-02,21:56:45,74.0948,134.2492,10.0,3.77,mb
2004-01-12,00:17:48,76.2882,133.5084,0.0,3.4,mb
2004-02-04,22:55:34,77.9883,126.8923,10.0,3.81,mb
2004-04-27,04:45:41,79.9648,122.9271,0.0,3.5,mb
2004-06-28,02:11:59,74.0964,134.5349,10.0,4.0,mb
2004-10-02,11:06:01,73.796,114.5463,10.0,4.26,mb
2005-08-15,21:24:33,74.5597,134.0786,10.0,4.36,mb
2006-02-09,05:38:21,79.9036,123.9652,10.0,3.83,mb
2006-03-28,18:36:58,76.4745,130.8403,19.4574,4.39,mb
2006-04-03,15:18:06,74.8051,128.3911,10.0,3.64,mb
2006-04-03,15:38:37,74.3624,129.1332,10.0,3.21,mb
2006-06-09,01:26:55,74.021,137.419,33.0,4.1,mb
2006-12-17,11:39:09,74.6592,131.7242,10.0,3.53,mb
2007-01-11,01:59:46,74.2566,146.9688,10.0,3.47,mb
2007-02-27,16:54:05,77.8064,126.6821,10.0,4.07,mb
2007-03-14,08:51:09,77.6844,126.6021,10.0,3.59,mb
2007-03-16,21:08:11,70.0628,140.1881,10.0,4.53,mb
2007-04-11,17:44:28,78.8236,125.7329,10.0,3.84,mb
2007-06-06,14:21:25,72.6964,125.1149,10.0,3.78,mb
2007-07-12,20:29:25,72.2656,125.7669,10.0,3.87,mb
2007-07-19,06:18:44,72.2166,125.8918,10.0,4.4,mb
2007-12-13,20:48:01,72.8393,126.5246,10.0,3.73,mb
2008-01-02,05:18:03,73.9407,114.4697,10.0,3.78,mb
2008-05-15,15:29:06,74.8199,133.9943,10.0,3.7,mb
2008-06-22,19:45:28,77.1635,130.7714,10.0,4.1,mb
2008-07-04,04:55:06,75.3815,133.9345,17.5862,5.0,mb
